Nodes,Deg,ErrorRate,Rep,Algo,F1,Prec,Rec,SHD,Requests,Performed_CITs,Bypassed_CITs
20,3,0.1,27,Standard PC,0.2222222222222222,0.6666666666666666,0.13333333333333333,28.0,1560,1560,0
20,3,0.1,28,Standard PC,0.32558139534883723,0.5384615384615384,0.23333333333333334,29.0,1533,1533,0
20,3,0.1,29,Standard PC,0.20512820512820512,0.4444444444444444,0.13333333333333333,31.0,1655,1655,0
20,3,0.1,0,DF-PC (Pure),0.4210526315789474,0.4444444444444444,0.4,33.0,2330,1036,1294
20,3,0.1,1,DF-PC (Pure),0.4210526315789474,0.4444444444444444,0.4,33.0,2528,1095,1433
20,3,0.1,2,DF-PC (Pure),0.3571428571428571,0.38461538461538464,0.3333333333333333,36.0,1588,572,1016
20,3,0.1,3,DF-PC (Pure),0.3728813559322034,0.3793103448275862,0.36666666666666664,37.0,2254,906,1348
20,3,0.1,4,DF-PC (Pure),0.4262295081967213,0.41935483870967744,0.43333333333333335,35.0,2528,1254,1274
20,3,0.1,5,DF-PC (Pure),0.4444444444444445,0.5,0.4,30.0,2185,959,1226
20,3,0.1,6,DF-PC (Pure),0.3571428571428571,0.38461538461538464,0.3333333333333333,36.0,2260,960,1300
20,3,0.1,7,DF-PC (Pure),0.35294117647058826,0.3157894736842105,0.4,44.0,2457,952,1505
20,3,0.1,8,DF-PC (Pure),0.22222222222222224,0.25,0.2,42.0,2493,1096,1397
20,3,0.1,9,DF-PC (Pure),0.711864406779661,0.7241379310344828,0.7,17.0,2716,1271,1445
20,3,0.1,10,DF-PC (Pure),0.3157894736842105,0.3333333333333333,0.3,39.0,2081,848,1233
20,3,0.1,11,DF-PC (Pure),0.3728813559322034,0.3793103448275862,0.36666666666666664,37.0,2394,1229,1165
20,3,0.1,12,DF-PC (Pure),0.39215686274509803,0.47619047619047616,0.3333333333333333,31.0,1902,779,1123
20,3,0.1,13,DF-PC (Pure),0.5172413793103449,0.5357142857142857,0.5,28.0,2432,1072,1360
20,3,0.1,14,DF-PC (Pure),0.5,0.4473684210526316,0.5666666666666667,34.0,2983,1145,1838
20,3,0.1,15,DF-PC (Pure),0.507936507936508,0.48484848484848486,0.5333333333333333,31.0,3178,1454,1724
20,3,0.1,16,DF-PC (Pure),0.4642857142857143,0.5,0.43333333333333335,30.0,2154,948,1206
20,3,0.1,17,DF-PC (Pure),0.5507246376811593,0.48717948717948717,0.6333333333333333,31.0,3668,1462,2206
20,3,0.1,18,DF-PC (Pure),0.5384615384615385,0.6363636363636364,0.4666666666666667,24.0,2275,1064,1211
20,3,0.1,19,DF-PC (Pure),0.4313725490196078,0.5238095238095238,0.36666666666666664,29.0,1752,735,1017
20,3,0.1,20,DF-PC (Pure),0.5818181818181818,0.64,0.5333333333333333,23.0,1806,719,1087
20,3,0.1,21,DF-PC (Pure),0.2105263157894737,0.2222222222222222,0.2,45.0,2358,1057,1301
20,3,0.1,22,DF-PC (Pure),0.44067796610169496,0.4482758620689655,0.43333333333333335,33.0,2643,1175,1468
20,3,0.1,23,DF-PC (Pure),0.2592592592592593,0.2916666666666667,0.23333333333333334,40.0,2148,1010,1138
20,3,0.1,24,DF-PC (Pure),0.4814814814814815,0.5416666666666666,0.43333333333333335,28.0,1649,628,1021
20,3,0.1,25,DF-PC (Pure),0.4363636363636364,0.48,0.4,31.0,2522,899,1623
20,3,0.1,26,DF-PC (Pure),0.631578947368421,0.6666666666666666,0.6,21.0,2152,899,1253
20,3,0.1,27,DF-PC (Pure),0.44897959183673464,0.5789473684210527,0.36666666666666664,27.0,1785,734,1051
20,3,0.1,28,DF-PC (Pure),0.4262295081967213,0.41935483870967744,0.43333333333333335,35.0,2519,1091,1428
20,3,0.1,29,DF-PC (Pure),0.4,0.44,0.36666666666666664,33.0,2130,882,1248
20,3,0.2,0,Standard PC,0.0625,0.5,0.03333333333333333,30.0,1192,1192,0
20,3,0.2,1,Standard PC,0.17142857142857143,0.6,0.1,29.0,1194,1194,0
20,3,0.2,2,Standard PC,0.0,0.0,0.0,30.0,1000,1000,0
20,3,0.2,3,Standard PC,0.0625,0.5,0.03333333333333333,30.0,1366,1366,0
20,3,0.2,4,Standard PC,0.0606060606060606,0.3333333333333333,0.03333333333333333,31.0,1217,1217,0
20,3,0.2,5,Standard PC,0.0,0.0,0.0,30.0,1118,1118,0
20,3,0.2,6,Standard PC,0.0625,0.5,0.03333333333333333,30.0,1194,1194,0
20,3,0.2,7,Standard PC,0.06451612903225806,1.0,0.03333333333333333,29.0,944,944,0
20,3,0.2,8,Standard PC,0.0,0.0,0.0,33.0,1325,1325,0
20,3,0.2,9,Standard PC,0.1212121212121212,0.6666666666666666,0.06666666666666667,29.0,1013,1013,0
20,3,0.2,10,Standard PC,0.0,0.0,0.0,32.0,1304,1304,0
20,3,0.2,11,Standard PC,0.0625,0.5,0.03333333333333333,30.0,1084,1084,0
20,3,0.2,12,Standard PC,0.0625,0.5,0.03333333333333333,30.0,1206,1206,0
20,3,0.2,13,Standard PC,0.0625,0.5,0.03333333333333333,30.0,1191,1191,0
20,3,0.2,14,Standard PC,0.06451612903225806,1.0,0.03333333333333333,29.0,1079,1079,0
20,3,0.2,15,Standard PC,0.1212121212121212,0.6666666666666666,0.06666666666666667,29.0,1051,1051,0
20,3,0.2,16,Standard PC,0.0625,0.5,0.03333333333333333,30.0,1313,1313,0
20,3,0.2,17,Standard PC,0.0625,0.5,0.03333333333333333,30.0,1000,1000,0
20,3,0.2,18,Standard PC,0.0625,0.5,0.03333333333333333,30.0,1256,1256,0
20,3,0.2,19,Standard PC,0.2702702702702703,0.7142857142857143,0.16666666666666666,27.0,1115,1115,0
20,3,0.2,20,Standard PC,0.17647058823529416,0.75,0.1,28.0,985,985,0
20,3,0.2,21,Standard PC,0.0,0.0,0.0,31.0,1266,1266,0
20,3,0.2,22,Standard PC,0.0,0.0,0.0,32.0,1333,1333,0
20,3,0.2,23,Standard PC,0.1142857142857143,0.4,0.06666666666666667,31.0,1266,1266,0
20,3,0.2,24,Standard PC,0.17647058823529416,0.75,0.1,28.0,1054,1054,0
20,3,0.2,25,Standard PC,0.11764705882352941,0.5,0.06666666666666667,30.0,1338,1338,0
20,3,0.2,26,Standard PC,0.125,1.0,0.06666666666666667,28.0,1124,1124,0
20,3,0.2,27,Standard PC,0.06451612903225806,1.0,0.03333333333333333,29.0,1306,1306,0
20,3,0.2,28,Standard PC,0.06451612903225806,1.0,0.03333333333333333,29.0,1018,1018,0
